Year,Date,Host,City,Venue,Rank,University,Country,Team,Contestant 1,Contestant 2,Contestant 3,Gold,Silver,Bronze,Honorable,Score,Total,Score Percentage,Penalty,Prize
2023,2024-04-18,Egypt,Luxor,Jolie Ville Resort & SPA Kings Island Luxor,1,National Research University Higher School of Economics,Russia,FFTilted,Aleksandr Babin,Fedor Romashov,Kirill Kudriashov,True,False,False,False,9,11,0.82,995,"World Champion, Northern Eurasia Champion"
2023,2024-04-18,Egypt,Luxor,Jolie Ville Resort & SPA Kings Island Luxor,2,Peking University,China,Let It Rot,Bo Peng,Shiyuan Feng,Yi Qian,True,False,False,False,9,11,0.82,1068,Asia East Champion
2023,2024-04-18,Egypt,Luxor,Jolie Ville Resort & SPA Kings Island Luxor,3,Moscow Institute of Physics and Technology,Russia,Yolki-palki,Denis Mustafin,Tikhon Evteev,Vsevolod Nagibin,True,False,False,False,9,11,0.82,1143,
2023,2024-04-18,Egypt,Luxor,Jolie Ville Resort & SPA Kings Island Luxor,4,Harbour.Space University - Barcelona Campus,Spain,P+P+P,Batyr Sardarbekov,Sergei Zolotarev,Yahor Dubovik,True,False,False,False,9,11,0.82,1304,Europe Champion
2023,2024-04-18,Egypt,Luxor,Jolie Ville Resort & SPA Kings Island Luxor,5,Tsinghua University,China,there is a hand owning feet,Guang Yang,Kai Luo,Yusi Chen,False,True,False,False,9,11,0.82,1524,
2023,2024-04-18,Egypt,Luxor,Jolie Ville Resort & SPA Kings Island Luxor,6,Nanjing University,China,triple_dogs,Chunyang Wang,Hongyang Liu,Xinyuan Zhang,False,True,False,False,8,11,0.73,1013,
2023,2024-04-18,Egypt,Luxor,Jolie Ville Resort & SPA Kings Island Luxor,7,Seoul National University,South Korea,HappyLastDance,Donghyun Kim,Harin Lee,Jeonghyun Ahn,False,True,False,False,8,11,0.73,1102,Asia Pacific Champion
2023,2024-04-18,Egypt,Luxor,Jolie Ville Resort & SPA Kings Island Luxor,8,University of Waterloo,Canada,Waterloo Black,Andrew Tang,Kevin Wan,Ramazan Rakhmatullin,False,True,False,False,8,11,0.73,1120,North America Champion
2023,2024-04-18,Egypt,Luxor,Jolie Ville Resort & SPA Kings Island Luxor,9,The University of Tokyo,Japan,Time Manipulators,Hirotaka Yoneda,Masataka Yoneda,Rintaro Matsuo,False,False,True,False,8,11,0.73,1121,
2023,2024-04-18,Egypt,Luxor,Jolie Ville Resort & SPA Kings Island Luxor,10,Tokyo Institute of Technology,Japan,tonosama,Kosuke Kaneshita,Tatsuhito Yamagata,Yasunori Kinoshita,False,False,True,False,8,11,0.73,1424,
2023,2024-04-18,Egypt,Luxor,Jolie Ville Resort & SPA Kings Island Luxor,11,Brigham Young University,United States,BYU TTL 255,Lawry Sorenson,Spencer Smith,Thomas Draper,False,False,True,False,7,11,0.64,842,
